# Reynolds	Cylinder	Cylinder-Ridges		Sponge		Sponge-Ridges
100		1.3516		1.5717			1.3537		1.5566
500		1.5232		1.4921			1.3426		1.3111
1000		1.3993		1.4249			1.0805		1.1887
1500		1.4169		1.5088			0.9892		1.1548
2000		1.4293		1.5877			0.9550		1.1214
