# iter	  u   		 v 		w	       rho		Re
 1000500  0.386593E-01   0.429374E-01  -0.283357E-06   0.992599E+0	100
 1001000  0.365602E-01   0.322126E-01  -0.238184E-06   0.993167E+0	100
 1001500  0.338532E-01   0.183723E-01  -0.180000E-06   0.993410E+0	100
 1002000  0.319378E-01   0.162860E-02  -0.161254E-06   0.993383E+0	100
 1002500  0.337811E-01  -0.151646E-01  -0.191297E-06   0.993166E+0	100
 1003000  0.423632E-01  -0.265838E-01  -0.221391E-06   0.992777E+0	100
 1003500  0.552222E-01  -0.317945E-01  -0.191488E-06   0.992176E+0	100
 1004000  0.662287E-01  -0.366682E-01  -0.231082E-06   0.991445E+0	100
 1004500  0.748600E-01  -0.424591E-01  -0.330896E-06   0.990720E+0	100
 1005000  0.827257E-01  -0.477179E-01  -0.259633E-06   0.990033E+0	100
 1005500  0.905006E-01  -0.520500E-01  -0.161915E-06   0.989331E+0	100
 1006000  0.984176E-01  -0.553628E-01  -0.158279E-06   0.988519E+0	100
 1006500  0.106412E+00  -0.572176E-01  -0.162214E-06   0.987507E+0	100
 1007000  0.113761E+00  -0.564530E-01  -0.185079E-06   0.986280E+0	100
 1007500  0.118658E+00  -0.511411E-01  -0.217476E-06   0.984957E+0	100
 1008000  0.118764E+00  -0.397091E-01  -0.193105E-06   0.983866E+0	100
 1008500  0.113141E+00  -0.227894E-01  -0.232962E-06   0.983445E+0	100
 1009000  0.102441E+00  -0.257067E-02  -0.255542E-06   0.984016E+0	100
 1009500  0.864847E-01   0.193445E-01  -0.258889E-06   0.985683E+0	100
 1010000  0.664549E-01   0.393525E-01  -0.141375E-06   0.988140E+0	100
 1010500  0.491382E-01   0.500374E-01  -0.167372E-06   0.990458E+0	100
 1011000  0.407374E-01   0.484982E-01  -0.200920E-06   0.991951E+0	100
 1011500  0.380860E-01   0.401212E-01  -0.221386E-06   0.992800E+0	100
 1012000  0.358156E-01   0.285356E-01  -0.176275E-06   0.993269E+0	100
 1012500  0.331073E-01   0.137478E-01  -0.993734E-07   0.993427E+0	100
 1013000  0.319254E-01  -0.345973E-02  -0.118134E-06   0.993337E+0	100
 1013500  0.355267E-01  -0.192567E-01  -0.172559E-06   0.993073E+0	100
 1014000  0.459689E-01  -0.285040E-01  -0.223302E-06   0.992624E+0	100
 1014500  0.587519E-01  -0.330509E-01  -0.223449E-06   0.991969E+0	100
 1015000  0.688927E-01  -0.383346E-01  -0.396495E-06   0.991230E+0	100
 1015500  0.771784E-01  -0.440745E-01  -0.321562E-06   0.990517E+0	100
 1016000  0.849781E-01  -0.490733E-01  -0.240867E-06   0.989834E+0	100
 1016500  0.927802E-01  -0.531260E-01  -0.146886E-06   0.989111E+0	100
 1017000  0.100746E+00  -0.560867E-01  -0.165862E-06   0.988248E+0	100
 1017500  0.108670E+00  -0.573393E-01  -0.169817E-06   0.987171E+0	100
 1018000  0.115543E+00  -0.554733E-01  -0.219158E-06   0.985894E+0	100
 1018500  0.119269E+00  -0.484772E-01  -0.211880E-06   0.984596E+0	100
 1019000  0.117702E+00  -0.352689E-01  -0.202614E-06   0.983657E+0	100
 1019500  0.110537E+00  -0.171739E-01  -0.210222E-06   0.983500E+0	100
 1020000  0.983776E-01   0.369365E-02  -0.251661E-06   0.984389E+0	100
 1020500  0.808957E-01   0.256386E-01  -0.232277E-06   0.986347E+0	100
 1021000  0.607453E-01   0.437361E-01  -0.201545E-06   0.988875E+0	100
 1021500  0.457416E-01   0.506986E-01  -0.244348E-06   0.990981E+0	100
 1022000  0.396824E-01   0.465008E-01  -0.302229E-06   0.992247E+0	100
 1022500  0.375065E-01   0.370618E-01  -0.271996E-06   0.992971E+0	100
 1023000  0.350188E-01   0.245811E-01  -0.211889E-06   0.993345E+0	100
 1023500  0.324820E-01   0.889856E-02  -0.172498E-06   0.993422E+0	100
 1024000  0.323159E-01  -0.844756E-02  -0.136894E-06   0.993276E+0	100
 1024500  0.379064E-01  -0.227384E-01  -0.180081E-06   0.992965E+0	100
 1025000  0.497755E-01  -0.299923E-01  -0.200819E-06   0.992452E+0	100
 1025500  0.620040E-01  -0.344308E-01  -0.202838E-06   0.991756E+0	100
 1026000  0.714053E-01  -0.400351E-01  -0.334556E-06   0.991018E+0	100
 1026500  0.794616E-01  -0.456206E-01  -0.319745E-06   0.990318E+0	100
 1027000  0.872319E-01  -0.503491E-01  -0.274795E-06   0.989633E+0	100
 1027500  0.950755E-01  -0.541131E-01  -0.259936E-06   0.988879E+0	100
 1028000  0.103076E+00  -0.566721E-01  -0.177223E-06   0.987958E+0	100
 1028500  0.110847E+00  -0.572037E-01  -0.215178E-06   0.986817E+0	100
 1029000  0.117061E+00  -0.540555E-01  -0.226805E-06   0.985506E+0	100
 1029500  0.119418E+00  -0.452698E-01  -0.206274E-06   0.984266E+0	100
 1030000  0.116160E+00  -0.304110E-01  -0.202644E-06   0.983515E+0	100
 1030500  0.107526E+00  -0.113351E-01  -0.259426E-06   0.983644E+0	100
 1031000  0.938455E-01   0.100736E-01  -0.272345E-06   0.984855E+0	100
 1031500  0.750350E-01   0.316362E-01  -0.273623E-06   0.987064E+0	100
