# iter		u		v	w		Rho		Re
 2000500  0.412351E-02   0.104087E-01   0.936671E-02   0.994690E+00	500 
 2001000  0.907034E-02  -0.333438E-03   0.936038E-02   0.996356E+00	500
 2001500  0.156362E-01  -0.874428E-02   0.679093E-02   0.998073E+00	500
 2002000  0.330079E-01  -0.121837E-01   0.107455E-02   0.999757E+00	500
 2002500  0.584878E-01  -0.121518E-01   0.252882E-02   0.100082E+01	500
 2003000  0.662531E-01  -0.204134E-01   0.969642E-02   0.100101E+01	500
 2003500  0.735414E-01  -0.278808E-01   0.977808E-02   0.100036E+01	500
 2004000  0.800716E-01  -0.354203E-01   0.545815E-02   0.998893E+00	500
 2004500  0.845696E-01  -0.422425E-01  -0.303382E-03   0.997119E+00	500
 2005000  0.867666E-01  -0.473875E-01  -0.532926E-02   0.995390E+00	500
 2005500  0.875905E-01  -0.522601E-01  -0.698475E-02   0.993388E+00	500
 2006000  0.902127E-01  -0.602996E-01  -0.547124E-02   0.990312E+00	500
 2006500  0.975699E-01  -0.702044E-01  -0.462902E-02   0.985776E+00	500
 2007000  0.109923E+00  -0.712953E-01  -0.264298E-02   0.979505E+00	500
 2007500  0.117782E+00  -0.511204E-01   0.803628E-02   0.974758E+00	500
 2008000  0.113311E+00  -0.329687E-01   0.216528E-01   0.974237E+00	500
 2008500  0.923922E-01  -0.161104E-01   0.276026E-01   0.973259E+00	500
 2009000  0.577284E-01   0.212112E-01   0.219528E-01   0.972672E+00	500
 2009500  0.508420E-01   0.420729E-01   0.193863E-01   0.977546E+00	500
 2010000  0.491877E-01   0.387176E-01   0.106926E-01   0.982375E+00	500
 2010500  0.539505E-01   0.341566E-01   0.362967E-02   0.985872E+00	500
 2011000  0.668176E-01   0.247379E-01   0.408778E-02   0.988804E+00	500
 2011500  0.711749E-01   0.134328E-01   0.108182E-01   0.991057E+00	500
 2012000  0.696120E-01   0.982771E-02   0.143139E-01   0.993602E+00	500
 2012500  0.673844E-01   0.696685E-02   0.997587E-02   0.996238E+00	500
 2013000  0.664768E-01   0.128834E-02   0.425730E-03   0.998560E+00	500
 2013500  0.716361E-01  -0.841351E-02  -0.113497E-01   0.100011E+01	500
 2014000  0.790742E-01  -0.211944E-01  -0.175604E-01   0.100027E+01	500
 2014500  0.827719E-01  -0.336124E-01  -0.202728E-01   0.999293E+00	500
 2015000  0.836880E-01  -0.439033E-01  -0.217167E-01   0.998184E+00	500
 2015500  0.829862E-01  -0.516104E-01  -0.222953E-01   0.997288E+00	500
 2016000  0.825329E-01  -0.575909E-01  -0.202124E-01   0.996226E+00	500
 2016500  0.845293E-01  -0.630393E-01  -0.158239E-01   0.994926E+00	500
 2017000  0.879554E-01  -0.671676E-01  -0.120845E-01   0.993829E+00	500
 2017500  0.918877E-01  -0.695889E-01  -0.104546E-01   0.992820E+00	500
 2018000  0.969563E-01  -0.709010E-01  -0.103138E-01   0.991798E+00	500
 2018500  0.103745E+00  -0.711586E-01  -0.107506E-01   0.990492E+00	500
 2019000  0.112116E+00  -0.697565E-01  -0.112106E-01   0.988815E+00	500
 2019500  0.120861E+00  -0.652916E-01  -0.115107E-01   0.987066E+00	500
 2020000  0.127813E+00  -0.561554E-01  -0.111398E-01   0.985320E+00	500
 2020500  0.130507E+00  -0.434236E-01  -0.933202E-02   0.984019E+00	500
 2021000  0.127450E+00  -0.303023E-01  -0.673291E-02   0.983201E+00	500
 2021500  0.111386E+00  -0.129442E-01  -0.284622E-02   0.982833E+00	500
 2022000  0.815702E-01   0.141201E-01   0.815878E-02   0.983385E+00	500
 2022500  0.582389E-01   0.411726E-01  -0.106052E-02   0.985852E+00	500
 2023000  0.434587E-01   0.500946E-01  -0.348015E-02   0.989827E+00	500
 2023500  0.309649E-01   0.521732E-01   0.495883E-02   0.993592E+00	500
 2024000  0.293770E-01   0.533083E-01   0.635475E-02   0.997325E+00	500
 2024500  0.343391E-01   0.457860E-01   0.185665E-02   0.100145E+01	500
 2025000  0.357205E-01   0.225988E-01  -0.424874E-02   0.100464E+01	500
 2025500  0.399498E-01  -0.268818E-02  -0.753170E-02   0.100570E+01	500
 2026000  0.572425E-01  -0.135521E-01  -0.545229E-02   0.100511E+01	500
 2026500  0.647762E-01  -0.257014E-01  -0.452986E-02   0.100357E+01	500
 2027000  0.701677E-01  -0.358118E-01  -0.430268E-02   0.100163E+01	500
 2027500  0.753597E-01  -0.443165E-01  -0.426087E-02   0.999324E+00	500
 2028000  0.806856E-01  -0.514044E-01  -0.427282E-02   0.996881E+00	500
 2028500  0.861760E-01  -0.571637E-01  -0.454005E-02   0.994584E+00	500
 2029000  0.919455E-01  -0.618169E-01  -0.522255E-02   0.992505E+00	500
 2029500  0.982881E-01  -0.653842E-01  -0.622746E-02   0.990796E+00	500
 2030000  0.105724E+00  -0.674447E-01  -0.732143E-02   0.989330E+00	500
 2030500  0.114339E+00  -0.667816E-01  -0.816840E-02   0.987788E+00	500
 2031000  0.122691E+00  -0.614275E-01  -0.851377E-02   0.986175E+00	500
 2031500  0.127472E+00  -0.498570E-01  -0.859276E-02   0.984983E+00	500
 2032000  0.126129E+00  -0.352388E-01  -0.865580E-02   0.984634E+00	500
 2032500  0.120956E+00  -0.222024E-01  -0.792868E-02   0.985029E+00	500
 2033000  0.112108E+00  -0.924443E-02  -0.663158E-02   0.986134E+00	500
 2033500  0.963308E-01   0.556360E-02  -0.727872E-02   0.988066E+00	500
 2034000  0.679897E-01   0.203945E-01  -0.118153E-01   0.990427E+00	500
