 5000500  0.222696E-01   0.516571E-01   0.555489E-01   0.100074E+01
 5001000  0.276358E-01   0.517887E-01  -0.266809E-02   0.100434E+01
 5001500  0.265628E-01   0.265632E-01  -0.118878E-01   0.100506E+01
 5002000  0.250674E-01  -0.341781E-04  -0.151720E-01   0.100495E+01
 5002500  0.561915E-01  -0.861454E-02  -0.675282E-02   0.100367E+01
 5003000  0.604561E-01  -0.244065E-01  -0.629372E-02   0.100148E+01
 5003500  0.634616E-01  -0.355032E-01  -0.904670E-03   0.999872E+00
 5004000  0.652273E-01  -0.432105E-01   0.830223E-03   0.998875E+00
 5004500  0.692824E-01  -0.500557E-01   0.697050E-03   0.998097E+00
 5005000  0.754139E-01  -0.561808E-01   0.419277E-03   0.997541E+00
 5005500  0.834643E-01  -0.611834E-01   0.218936E-03   0.996371E+00
 5006000  0.921661E-01  -0.645646E-01  -0.149718E-04   0.995030E+00
 5006500  0.102673E+00  -0.683928E-01   0.628314E-03   0.993260E+00
 5007000  0.117669E+00  -0.687522E-01   0.987102E-03   0.990625E+00
 5007500  0.130530E+00  -0.646603E-01   0.706258E-03   0.987985E+00
 5008000  0.134559E+00  -0.750461E-01   0.134471E-01   0.984208E+00
 5008500  0.139393E+00  -0.184152E-01   0.640544E-02   0.978822E+00
 5009000  0.120099E+00   0.732331E-02   0.107501E-02   0.984128E+00
 5009500  0.120012E+00   0.297046E-01  -0.132908E-01   0.986517E+00
 5010000  0.917628E-01   0.499636E-01  -0.486852E-02   0.992039E+00
 5010500  0.100652E+00   0.194710E-01  -0.226432E-01   0.994979E+00
 5011000  0.841021E-01   0.567171E-02  -0.230711E-01   0.999518E+00
 5011500  0.709033E-01   0.464911E-02  -0.410923E-01   0.999516E+00
 5012000  0.596549E-01   0.307074E-01  -0.124058E-01   0.998783E+00
 5012500  0.404229E-01   0.335425E-01  -0.506503E-02   0.100244E+01
 5013000  0.376246E-01   0.383735E-01  -0.623280E-02   0.100380E+01
